(Audit),(تدقيق)
(أمان/PDPL),(أمان/حماية البيانات)
Academy Schedule,جدول الأكاديمية
Accent Colour,لون التمييز
accepted,مقبول
Access Code,رمز الدخول
Access Scope,نطاق الدخول
acknowledged,مُقرّ به
Action,إجراء
action,إجراء
Actions,إجراءات
actions,إجراءات
Active,نشط
active,نشط
Activity Level,مستوى النشاط
Activity Service,خدمة النشاط
Activity Service Fee,رسوم خدمة النشاط
Add,إضافة
add,إضافة
Add event days first,أضف أيام الفعالية أولًا
Add or remove services from the catalogue. Tasks are generated per service on payment.,أضف أو احذف خدمات من الكتالوج. تُنشأ المهام لكل خدمة عند الدفع.
Add session,إضافة جلسة
"Add several sections to the same day — e.g. Morning, Lunch, Afternoon, Gala. Sessions are grouped under the section whose time range contains them.",أضف عدة أقسام لنفس اليوم — مثلًا صباح، غداء، بعد الظهر، حفل. تُجمَّع الجلسات تحت القسم الذي يقع ضمن نطاقه الزمني.
Address,العنوان
address,العنوان
advance,تقديم
Advance Stage,تقديم المرحلة
Advanced via the journey gate engine — use the Advance Stage / Override buttons,يُقدَّم عبر محرك بوابات الرحلة — استخدم أزرار تقديم المرحلة / التجاوز
africa,أفريقيا
afternoon,بعد الظهر
Agenda,جدول الفعالية
agenda,جدول الفعالية
Agenda as PDF attachment,جدول الفعالية كمرفق مستند
Agenda by Day,جدول الفعالية حسب اليوم
Agenda Email Language,لغة بريد جدول الفعالية
Agenda Email Layout,تخطيط بريد جدول الفعالية
Agenda Email Preview,معاينة بريد جدول الفعالية
Agenda is hidden for this event,جدول الفعالية مخفي لهذه الفعالية
Agenda is hidden for this event — not sent,جدول الفعالية مخفي لهذه الفعالية — لم يُرسل
Agenda Layout,تخطيط جدول الفعالية
Agenda PDF sent,أُرسل مستند جدول الفعالية
Agenda Section,قسم جدول الفعالية
Agenda Sections (multiple per day),أقسام جدول الفعالية (عدة أقسام لليوم)
Agenda sent,أُرسل جدول الفعالية
Agenda sent as a separate email,أُرسل جدول الفعالية في بريد منفصل
Agenda sent with the invitation,أُرسل جدول الفعالية مع الدعوة
Agenda Tasks,مهام جدول الفعالية
Agenda tasks,مهام جدول الفعالية
Airline,شركة الطيران
airline,شركة الطيران
Airport → Hotel,المطار ← الفندق
airport_desk,مكتب المطار
airport_transfer,نقل من المطار
Alert Type,نوع البلاغ
All events,كل الفعاليات
Allow Reminder,السماح بالتذكير
Amount,الإجمالي
amount,الإجمالي
apac,آسيا والمحيط الهادئ
Application #,رقم الطلب
approved,معتمد
Approved Accreditations,الاعتمادات المعتمدة
Approved By,اعتمد بواسطة
ar,العربية
Arabic,العربية
arabic,العربية
Archived,مؤرشف
archived,مؤرشف
Arrival,وصول
arrival,وصول
Arrival & Transport,الوصول والنقل
Arrival Confirmed,تأكيد الوصول
Arrival Terminal,صالة الوصول
Arrivals Today,الوصول اليوم
Arrived,وصل
arrived,وصل
Assign to me,أسند إليّ
assigned,مُسند
Assigned Driver,السائق المعيّن
Assigned To,مُسند إلى
Assigned to {0} member(s): {1},أُسند إلى {0} عضو/أعضاء: {1}
Assignee cleared — not a member of this team,أُزيل الإسناد — ليس عضوًا في هذا الفريق
Assistant,مساعد
assistant,مساعد
At,في
at,في
"Attach the agenda to the invitation, send it as a separate email, or skip it.",أرفق الجدول بالدعوة، أو أرسله ببريد منفصل، أو تخطَّه.
Attendance,الحضور
attendance,الحضور
Audience,الجمهور
audience,الجمهور
auto,تلقائي
Auto-create portal user on guest registration,إنشاء مستخدم بوابة تلقائيًا عند تسجيل الضيف
Auto-filled from the session when linked,يُملأ تلقائيًا من الجلسة عند الربط
Auto-send on stage,إرسال تلقائي عند المرحلة
availability_checked,تم التحقق من التوفر
available,متاح
Available Hours,الساعات المتاحة
Available Seats,المقاعد المتاحة
Awaiting Payment,بانتظار الدفع
Badge,بطاقة الدخول
badge,بطاقة الدخول
Badge Language,لغة بطاقة الدخول
Badge PDF,مستند بطاقة الدخول
Badge Preview,معاينة بطاقة الدخول
Badge Queue,طابور بطاقات الدخول
Badge requires hotel check-in (BR-007),بطاقة الدخول تتطلب تسجيل دخول الفندق (قاعدة العمل 007)
Badge State,حالة بطاقة الدخول
Badge Type,نوع بطاقة الدخول
badge_ready,بطاقة الدخول جاهزة
badge_reprint,إعادة طباعة بطاقة الدخول
badge_team,فريق بطاقات الدخول
Badges Ready,بطاقات الدخول جاهزة
Banquet,حفل عشاء
banquet,حفل عشاء
Basic,أساسي
basic,أساسي
Basic Setup,الإعداد الأساسي
bilateral,ثنائي
Bilateral meetings,اجتماعات ثنائية
Bio,نبذة
bio,نبذة
Bio (AR),النبذة (العربية)
Blank = use the service default,فارغ = استخدام الإعداد الافتراضي للخدمة
blocked,محظور
Boardroom,قاعة اجتماعات
boardroom,قاعة اجتماعات
Body (AR),النص (العربية)
Body (EN),النص (الإنجليزية)
Body (FR),النص (الفرنسية)
Booking Confirmation #,رقم تأكيد الحجز
both,كلاهما
BR-001:,قاعدة العمل 001:
BR-002:,قاعدة العمل 002:
BR-002: لا يمكن بدء التأشيرة قبل اعتماد KYC.,قاعدة العمل 002: لا يمكن بدء التأشيرة قبل اعتماد التحقق من الهوية.
BR-002: لا يمكن تجاوز اعتماد KYC — حجب صارم (أمان/PDPL).,قاعدة العمل 002: لا يمكن تجاوز اعتماد التحقق من الهوية — حجب صارم (أمان/حماية البيانات).
BR-004:,قاعدة العمل 004:
BR-004: لا يمكن طلب الطيران قبل اعتماد التأشيرة.,قاعدة العمل 004: لا يمكن طلب الطيران قبل اعتماد التأشيرة.
BR-005:,قاعدة العمل 005:
BR-005: لا يمكن إسناد السائق قبل تأكيد الوصول.,قاعدة العمل 005: لا يمكن إسناد السائق قبل تأكيد الوصول.
BR-006:,قاعدة العمل 006:
BR-006: لا يمكن تسجيل دخول الفندق قبل وصول رحلة النقل.,قاعدة العمل 006: لا يمكن تسجيل دخول الفندق قبل وصول رحلة النقل.
BR-007:,قاعدة العمل 007:
BR-007: لا يمكن إصدار البادج قبل تسجيل دخول الفندق.,قاعدة العمل 007: لا يمكن إصدار بطاقة الدخول قبل تسجيل دخول الفندق.
BR-009:,قاعدة العمل 009:
BR-009: التجاوز يتطلب سببًا مُسجّلًا (Audit).,قاعدة العمل 009: التجاوز يتطلب سببًا مُسجّلًا (تدقيق).
Branch,فرع
branch,فرع
Branch Activity,نشاط الفرع
Branch Activity Level,مستوى نشاط الفرع
Branches and Facilities,الفروع والمنشآت
break,استراحة
Broadcast,بث
broadcast,بث
Build Audience,بناء الجمهور
Business,أعمال
business,أعمال
Business Visa,تأشيرة عمل
By,بواسطة
by,بواسطة
Calendar,التقويم
calendar,التقويم
cancelled,ملغى
Capacity,السعة
capacity,السعة
car_with_driver,سيارة مع سائق
cart,عربة
Category,الفئة
category,الفئة
ceremony,حفل
Channel,القناة
channel,القناة
Check Conflicts,فحص التعارضات
Check-in Date,تاريخ تسجيل الدخول
Check-in State,حالة تسجيل الدخول
Check-out Date,تاريخ المغادرة
check_in_started,جارٍ التسجيل
Checked In At,وقت تسجيل الدخول
Checked In By,سجّل الدخول بواسطة
Checked Out At,وقت المغادرة
checked_in,سجّل الدخول
checked_out,غادر
Checksum,المجموع الاختباري
checksum,المجموع الاختباري
Child,طفل
child,طفل
City,المدينة
city,المدينة
Class,فئة
class,فئة
Classroom,قاعة تدريب
classroom,قاعة تدريب
Clear filter,مسح التصفية
cleared,أُخلي
Cleared At,وقت الإخلاء
closed,مغلق
closed_out,مغلق
Club,نادي
club,نادي
collected,مُستلم
Collected At,وقت الاستلام
Comments,تعليقات
comments,تعليقات
Commercial,تجاري
commercial,تجاري
comms,تواصل
Comms & Playbook,التواصل ودليل التشغيل
compact_list,قائمة مختصرة
Companions,المرافقون
companions,المرافقون
Completed,مكتمل
completed,مكتمل
Completed At,وقت الإنجاز
Completed By,أنجزها
Completed Tasks,المهام المكتملة
confirmed,مؤكد
Confirmed Bilaterals,الاجتماعات الثنائية المؤكدة
Confirmed By,أكّد بواسطة
Confirmed Delegations,الوفود المؤكدة
Confirmed Guests,الضيوف المؤكدون
Consent (PDPL),الموافقة (حماية البيانات الشخصية)
Consent At,وقت الموافقة
Consented to data processing (PDPL),تمت الموافقة على معالجة البيانات (حماية البيانات الشخصية)
Contact,جهة اتصال
contact,جهة اتصال
Contact Person,شخص الاتصال
Contact Phone,هاتف الاتصال
contacted,تم الاتصال
Content,المحتوى
content,المحتوى
core,أساسي
Could not find Guest: {0},تعذر العثور على الضيف: {0}
Country,الدولة
country,الدولة
Cover Image,صورة الغلاف
Created: {0} · Failed: {1},أُنشئ: {0} · فشل: {1}
Currency,العملة
currency,العملة
custom,مخصص
Customer,عميل
customer,عميل
daily_transport,نقل يومي
Dashboards,لوحات المؤشرات
dashboards,لوحات المؤشرات
Date,التاريخ
date,التاريخ
Date of Birth,تاريخ الميلاد
Day,يوم
day,يوم
Day #,رقم اليوم
day rows not created yet,لم تُنشأ صفوف الأيام بعد
Day −1 (وصول مبكر),اليوم −1 (وصول مبكر)
day1,اليوم 1
day2,اليوم 2
day3,اليوم 3
day_minus_1,اليوم التمهيدي
day_tables,جداول الأيام
Days,أيام
days,أيام
declined,مرفوض
Default (Active) Event,الفعالية الافتراضية (النشطة)
Delegate,مندوب
delegate,مندوب
Delegation,وفد
delegation,وفد
Delegation Name,اسم الوفد
Delivery,تسليم
delivery,تسليم
Deluxe,فاخر
deluxe,فاخر
Departure,مغادرة
departure,المغادرة
Departure City,مدينة المغادرة
Departure Country,دولة المغادرة
Description,الوصف
description,الوصف
Description (AR),الوصف (العربية)
Description (EN),الوصف (الإنجليزية)
Desk,مكتب
desk,مكتب
Destination,الوجهة
destination,الوجهة
Destination Hotel,فندق الوجهة
Details,التفاصيل
details,التفاصيل
Dietary Requirements,المتطلبات الغذائية
Diplomatic,دبلوماسي
diplomatic,دبلوماسي
Direct Payment,دفع مباشر
Distance to Venue (km),المسافة إلى المكان (كم)
